AreaOfInterestName,Area,ImageId,ImageDate,ImageTime,Sensor,GSDm,ImageName,OperationState
P1_LIBYAAOI1,LIBYAAOI1,10500100363D0900,20230913,9:18:06-9:18:09,GEO01,0.42,LIBYAAOI1_10500100363D0900_20230913.tif,Finished
P1_LIBYAAOI2,LIBYAAOI2,10500100363D0A00,20230913,9:18:29-9:18:32,GEO01,0.42,LIBYAAOI2_10500100363D0A00_20230913.tif,Finished
P1_LIBYAAOI3,LIBYAAOI3,10300500D8F96700,20230122,9:24:17,WV02,0.47,LIBYAAOI3_10300500D8F96700_20230122.tif,Finished
P1_LIBYAAOI4,LIBYAAOI4,1050050059DEBF00,20230629,9:34:21-9:34:22,GEO01,0.42,LIBYAAOI4_1050050059DEBF00_20230629.tif,Finished
P1_LIBYAAOI5,LIBYAAOI5,105005005ADE7C00,20230701,9:07:41-9:07:44,GEO01,0.47,LIBYAAOI5_105005005ADE7C00_20230701.tif,Finished
P1_LIBYAAOI6,LIBYAAOI6,1050050064DEAB00,20230830,9:06:21-9:06:22,GEO01,0.51,LIBYAAOI6_1050050064DEAB00_20230830.tif,Finished
P1_LIBYAAOI7,LIBYAAOI7,10300100ED0AD100,20230914,9:18:08,WV02,0.49,LIBYAAOI7_10300100ED0AD100_20230914.tif,Finished
