AreaOfInterestName,Area,ImageId,ImageDate,ImageTime,Sensor,GSDm,ImageName,OperationState
P1_NEPALAOI1,NEPALAOI1,10300100EF530C00,20231109,,WV02,,NEPALAOI1_10300100EF530C00_20231109.tif,Finished
P1_NEPALAOI2,NEPALAOI2,10300100EF116000,20231108,,WV02,,NEPALAOI2_10300100EF116000_20231108.tif,Finished
P1_NEPALAOI3,NEPALAOI3,10300100F0D1BA00,20231109,,WV02,,NEPALAOI3_10300100F0D1BA00_20231109.tif,Finished
P1_NEPALAOI4,NEPALAOI4,10300100F0347800,20231109,,WV02,,NEPALAOI4_10300100F0347800_20231109.tif,Finished
P1_NEPALAOI5,NEPALAOI5,10300100F0446700,20231109,,WV02,,NEPALAOI5_10300100F0446700_20231109.tif,Finished
P1_NEPALAOI6,NEPALAOI6,10300100F0515300,20231109,,WV02,,NEPALAOI6_10300100F0515300_20231109.tif,Finished
P1_NEPALAOI7,NEPALAOI7,10300100F0921000,20231109,,WV02,,NEPALAOI7_10300100F0921000_20231109.tif,Finished
