AreaOfInterestName,Area,ImageId,ImageDate,Sensor,GSDm,ImageName,OperationState
P1_MAUI,MAUI,10300100EB592000,20230809,WV02,0.73,MAUI_HAWAI_10300100EB592000_20230809.tif,Finished
P1_MAUI,MAUI,10503F0006FE4B00,20230809,GE01,0.75,MAUI_HAWAI_10503F0006FE4B00_20230809.tif,Finished
P1_MAUI,MAUI,10300100EC8B7900,20230812,WV02,0.54,MAUI_HAWAI_10300100EC8B7900_20230812.tif,Finished
P1_MAUI,MAUI,10300100EB15FF00,20230812,WV02,0.53,MAUI_HAWAI_10300100EB15FF00_20230812.tif,Finished
P1_MAUI,MAUI,105001003590C300,20230812,GE01,0.49,MAUI_HAWAI_105001003590C300_20230812.tif,Finished
